,Name,Tweet Order,Text,Compound,Positive,Negative,Neutral,Time,Adj Time
0,@BBC,100,"Everyone is at rock bottom. And then Matt makes things worse. ?

@Matt_LeBlanc, @StephenMangan and Tamsin Greig are… https://t.co/wMqkSpRiUJ",-0.4767,0.0,0.154,0.846,Fri Mar 30 20:23:06 +0000 2018,2018-03-30 20:23:06+00:00
1,@BBC,99,?? When a cheetah interrupts your safari. https://t.co/Zi29GwxYA3,-0.3182,0.0,0.277,0.723,Fri Mar 30 19:00:32 +0000 2018,2018-03-30 19:00:32+00:00
2,@BBC,98,"RT @BBCOne: The search is on for Britain’s Best Home Cook. 

#BBHC @ClaudiaWinkle @DanDoherty_ @Chris_Bavin https://t.co/yw46HaGnKW",0.6369,0.219,0.0,0.781,Fri Mar 30 18:41:56 +0000 2018,2018-03-30 18:41:56+00:00
3,@BBC,97,"? 'JESUS DID NOT HAVE CUSTARD CREAMS!'

Don't let the Lent Police catch you cheating this #EasterWeekend. https://t.co/lLXFoF5fdg",-0.5983,0.0,0.196,0.804,Fri Mar 30 18:01:02 +0000 2018,2018-03-30 18:01:02+00:00
4,@BBC,96,"An Oscar-winning short film, The Silent Child tells the story of a profoundly deaf child born to hearing parents, w… https://t.co/AD1CGpoZvu",0.0,0.0,0.0,1.0,Fri Mar 30 17:29:06 +0000 2018,2018-03-30 17:29:06+00:00
5,@BBC,95,"'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77",0.0,0.0,0.0,1.0,Fri Mar 30 17:06:00 +0000 2018,2018-03-30 17:06:00+00:00
6,@BBC,94,?? A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv,0.5719,0.266,0.0,0.734,Fri Mar 30 16:26:45 +0000 2018,2018-03-30 16:26:45+00:00
7,@BBC,93,"The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9",-0.2144,0.073,0.116,0.81,Fri Mar 30 16:02:04 +0000 2018,2018-03-30 16:02:04+00:00
8,@BBC,92,"RT @bbceurovision: ?? Presenting our 2018 dream team! @Grahnort hosts the Grand Final on @BBCOne. Fresh from You Decide, we welcome @Rylan!…",0.8715,0.377,0.0,0.623,Fri Mar 30 15:25:47 +0000 2018,2018-03-30 15:25:47+00:00
9,@BBC,91,RT @BBCNews: Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV,0.0,0.0,0.0,1.0,Fri Mar 30 15:10:56 +0000 2018,2018-03-30 15:10:56+00:00
